[00:00:49] R= 423 , G= 423 , B= 423 , ORP= 582 , HCL= 1.13 , SG=1.313 , Temp=46.6
[00:00:51] R= 430 , G= 430 , B= 430 , ORP= 582 , HCL= 1.13 , SG=1.312 , Temp=46.5
[00:00:53] R= 430 , G= 430 , B= 430 , ORP= 582 , HCL= 1.13 , SG=1.312 , Temp=46.5
[00:00:55] R= 437 , G= 437 , B= 437 , ORP= 583 , HCL= 1.13 , SG=1.310 , Temp=46.5
[00:00:57] R= 437 , G= 437 , B= 437 , ORP= 583 , HCL= 1.13 , SG=1.310 , Temp=46.5
[00:00:59] R= 437 , G= 437 , B= 437 , ORP= 583 , HCL= 1.13 , SG=1.310 , Temp=46.5
[00:01:01] R= 443 , G= 443 , B= 443 , ORP= 583 , HCL= 1.12 , SG=1.308 , Temp=46.4
[00:01:03] R= 443 , G= 443 , B= 443 , ORP= 583 , HCL= 1.12 , SG=1.308 , Temp=46.4
[00:01:05] R= 450 , G= 450 , B= 450 , ORP= 584 , HCL= 1.12 , SG=1.306 , Temp=46.4
[00:01:07] R= 450 , G= 450 , B= 450 , ORP= 584 , HCL= 1.12 , SG=1.306 , Temp=46.4
[00:01:09] R= 450 , G= 450 , B= 450 , ORP= 584 , HCL= 1.12 , SG=1.306 , Temp=46.4
[00:01:11] R= 457 , G= 457 , B= 457 , ORP= 584 , HCL= 1.11 , SG=1.305 , Temp=46.3
[00:01:13] R= 457 , G= 457 , B= 457 , ORP= 584 , HCL= 1.11 , SG=1.305 , Temp=46.3
[00:01:15] R= 555 , G= 555 , B= 555 , ORP= 585 , HCL= 1.11 , SG=1.303 , Temp=46.2
[00:01:17] R= 555 , G= 555 , B= 555 , ORP= 585 , HCL= 1.11 , SG=1.303 , Temp=46.2
[00:01:19] R= 555 , G= 555 , B= 555 , ORP= 585 , HCL= 1.11 , SG=1.303 , Temp=46.2
[00:01:21] R= 562 , G= 562 , B= 562 , ORP= 585 , HCL= 1.11 , SG=1.301 , Temp=46.2
[00:01:23] R= 562 , G= 562 , B= 562 , ORP= 585 , HCL= 1.11 , SG=1.301 , Temp=46.2
[00:01:25] R= 569 , G= 569 , B= 569 , ORP= 586 , HCL= 1.10 , SG=1.300 , Temp=46.1
[00:01:27] R= 569 , G= 569 , B= 569 , ORP= 586 , HCL= 1.10 , SG=1.300 , Temp=46.1
[00:01:29] R= 569 , G= 569 , B= 569 , ORP= 586 , HCL= 1.10 , SG=1.300 , Temp=46.1
[00:01:31] R= 576 , G= 576 , B= 576 , ORP= 586 , HCL= 1.10 , SG=1.298 , Temp=46.1
[00:01:33] R= 576 , G= 576 , B= 576 , ORP= 586 , HCL= 1.10 , SG=1.298 , Temp=46.1
[00:01:35] R= 583 , G= 583 , B= 583 , ORP= 586 , HCL= 1.09 , SG=1.296 , Temp=46.0
[00:01:37] R= 583 , G= 583 , B= 583 , ORP= 586 , HCL= 1.09 , SG=1.296 , Temp=46.0
[00:01:39] R= 583 , G= 583 , B= 583 , ORP= 586 , HCL= 1.09 , SG=1.296 , Temp=46.0
[00:01:41] R= 589 , G= 589 , B= 589 , ORP= 587 , HCL= 1.09 , SG=1.294 , Temp=46.0
[00:01:43] R= 589 , G= 589 , B= 589 , ORP= 587 , HCL= 1.09 , SG=1.294 , Temp=46.0
[00:01:45] R= 596 , G= 596 , B= 596 , ORP= 597 , HCL= 1.08 , SG=1.293 , Temp=45.9
[00:01:47] R= 596 , G= 596 , B= 596 , ORP= 597 , HCL= 1.08 , SG=1.293 , Temp=45.9
[00:01:49] R= 596 , G= 596 , B= 596 , ORP= 597 , HCL= 1.08 , SG=1.293 , Temp=45.9
[00:01:51] R= 603 , G= 603 , B= 603 , ORP= 597 , HCL= 1.08 , SG=1.291 , Temp=45.9
[00:01:53] R= 603 , G= 603 , B= 603 , ORP= 597 , HCL= 1.08 , SG=1.291 , Temp=45.9
[00:01:55] R= 610 , G= 610 , B= 610 , ORP= 597 , HCL= 1.07 , SG=1.289 , Temp=45.8
[00:01:57] R= 610 , G= 610 , B= 610 , ORP= 597 , HCL= 1.07 , SG=1.289 , Temp=45.8
[00:01:59] R= 610 , G= 610 , B= 610 , ORP= 597 , HCL= 1.07 , SG=1.289 , Temp=45.8
[00:02:01] R= 616 , G= 616 , B= 616 , ORP= 598 , HCL= 1.07 , SG=1.287 , Temp=45.8
[00:02:03] R= 616 , G= 616 , B= 616 , ORP= 598 , HCL= 1.07 , SG=1.287 , Temp=45.8
[00:02:05] R= 623 , G= 623 , B= 623 , ORP= 598 , HCL= 1.06 , SG=1.286 , Temp=45.7
[00:02:07] R= 623 , G= 623 , B= 623 , ORP= 598 , HCL= 1.06 , SG=1.286 , Temp=45.7
[00:02:09] R= 623 , G= 623 , B= 623 , ORP= 598 , HCL= 1.06 , SG=1.286 , Temp=45.7
[00:02:11] R= 630 , G= 630 , B= 630 , ORP= 598 , HCL= 1.06 , SG=1.284 , Temp=45.7
[00:02:13] R= 630 , G= 630 , B= 630 , ORP= 598 , HCL= 1.06 , SG=1.284 , Temp=45.7
[00:02:15] R= 636 , G= 636 , B= 636 , ORP= 598 , HCL= 1.05 , SG=1.282 , Temp=45.6
[00:02:17] R= 636 , G= 636 , B= 636 , ORP= 598 , HCL= 1.05 , SG=1.282 , Temp=45.6
[00:02:19] R= 636 , G= 636 , B= 636 , ORP= 598 , HCL= 1.05 , SG=1.282 , Temp=45.6
[00:02:21] R= 643 , G= 643 , B= 643 , ORP= 599 , HCL= 1.05 , SG=1.280 , Temp=45.6
[00:02:23] R= 643 , G= 643 , B= 643 , ORP= 599 , HCL= 1.05 , SG=1.280 , Temp=45.6
[00:02:25] R= 649 , G= 649 , B= 649 , ORP= 599 , HCL= 1.04 , SG=1.279 , Temp=45.5
[00:02:27] R= 649 , G= 649 , B= 649 , ORP= 599 , HCL= 1.04 , SG=1.279 , Temp=45.5
[00:02:29] R= 649 , G= 649 , B= 649 , ORP= 599 , HCL= 1.04 , SG=1.279 , Temp=45.5
[00:02:31] R= 656 , G= 656 , B= 656 , ORP= 599 , HCL= 1.04 , SG=1.277 , Temp=45.5
[00:02:33] R= 656 , G= 656 , B= 656 , ORP= 599 , HCL= 1.04 , SG=1.277 , Temp=45.5
[00:02:35] R= 662 , G= 662 , B= 662 , ORP= 599 , HCL= 1.03 , SG=1.275 , Temp=45.5
[00:02:37] R= 662 , G= 662 , B= 662 , ORP= 599 , HCL= 1.03 , SG=1.275 , Temp=45.5
[00:02:39] R= 662 , G= 662 , B= 662 , ORP= 599 , HCL= 1.03 , SG=1.275 , Temp=45.5
[00:02:41] R= 669 , G= 669 , B= 669 , ORP= 599 , HCL= 1.02 , SG=1.274 , Temp=45.4
[00:02:43] R= 669 , G= 669 , B= 669 , ORP= 599 , HCL= 1.02 , SG=1.274 , Temp=45.4
[00:02:45] R= 675 , G= 675 , B= 675 , ORP= 599 , HCL= 1.02 , SG=1.272 , Temp=45.4
[00:02:47] R= 675 , G= 675 , B= 675 , ORP= 599 , HCL= 1.02 , SG=1.272 , Temp=45.4
[00:02:49] R= 675 , G= 675 , B= 675 , ORP= 599 , HCL= 1.02 , SG=1.272 , Temp=45.4
[00:02:51] R= 681 , G= 681 , B= 681 , ORP= 599 , HCL= 1.01 , SG=1.270 , Temp=45.3
[00:02:53] R= 681 , G= 681 , B= 681 , ORP= 599 , HCL= 1.01 , SG=1.270 , Temp=45.3
[00:02:55] R= 687 , G= 687 , B= 687 , ORP= 599 , HCL= 1.01 , SG=1.269 , Temp=45.3
[00:02:57] R= 687 , G= 687 , B= 687 , ORP= 599 , HCL= 1.01 , SG=1.269 , Temp=45.3
[00:02:59] R= 687 , G= 687 , B= 687 , ORP= 599 , HCL= 1.01 , SG=1.269 , Temp=45.3
[00:03:01] R= 693 , G= 693 , B= 693 , ORP= 599 , HCL= 1.00 , SG=1.267 , Temp=45.3
[00:03:03] R= 693 , G= 693 , B= 693 , ORP= 599 , HCL= 1.00 , SG=1.267 , Temp=45.3
[00:03:05] R= 699 , G= 699 , B= 699 , ORP= 599 , HCL= 1.00 , SG=1.265 , Temp=45.3
[00:03:07] R= 699 , G= 699 , B= 699 , ORP= 599 , HCL= 1.00 , SG=1.265 , Temp=45.3
[00:03:09] R= 699 , G= 699 , B= 699 , ORP= 599 , HCL= 1.00 , SG=1.265 , Temp=45.3
[00:03:11] R= 706 , G= 706 , B= 706 , ORP= 599 , HCL= 0.99 , SG=1.264 , Temp=45.2
[00:03:13] R= 706 , G= 706 , B= 706 , ORP= 599 , HCL= 0.99 , SG=1.264 , Temp=45.2
