[08:00:01] R= 423 , G= 423 , B= 423 , ORP= 582 , HCL=11.39 , SG=1.313 , Temp=46.6
[08:00:03] R= 430 , G= 430 , B= 430 , ORP= 582 , HCL=11.35 , SG=1.312 , Temp=46.5
[08:00:05] R= 430 , G= 430 , B= 430 , ORP= 582 , HCL=11.35 , SG=1.312 , Temp=46.5
[08:00:07] R= 430 , G= 430 , B= 430 , ORP= 582 , HCL=11.35 , SG=1.312 , Temp=46.5
[08:00:09] R= 437 , G= 437 , B= 437 , ORP= 583 , HCL=11.31 , SG=1.310 , Temp=46.5
[08:00:12] R= 437 , G= 437 , B= 437 , ORP= 583 , HCL=11.31 , SG=1.310 , Temp=46.5
[08:00:14] R= 443 , G= 443 , B= 443 , ORP= 583 , HCL=11.27 , SG=1.308 , Temp=46.4
[08:00:16] R= 443 , G= 443 , B= 443 , ORP= 583 , HCL=11.27 , SG=1.308 , Temp=46.4
[08:00:18] R= 443 , G= 443 , B= 443 , ORP= 583 , HCL=11.27 , SG=1.308 , Temp=46.4
[08:00:20] R= 450 , G= 450 , B= 450 , ORP= 584 , HCL=11.23 , SG=1.306 , Temp=46.4
[08:00:22] R= 450 , G= 450 , B= 450 , ORP= 584 , HCL=11.23 , SG=1.306 , Temp=46.4
[08:00:24] R= 457 , G= 457 , B= 457 , ORP= 584 , HCL=11.19 , SG=1.305 , Temp=46.3
[08:00:26] R= 457 , G= 457 , B= 457 , ORP= 584 , HCL=11.19 , SG=1.305 , Temp=46.3
[08:00:28] R= 457 , G= 457 , B= 457 , ORP= 584 , HCL=11.19 , SG=1.305 , Temp=46.3
[08:00:30] R= 464 , G= 464 , B= 464 , ORP= 585 , HCL=11.15 , SG=1.303 , Temp=46.2
[08:00:32] R= 464 , G= 464 , B= 464 , ORP= 585 , HCL=11.15 , SG=1.303 , Temp=46.2
[08:00:34] R= 471 , G= 471 , B= 471 , ORP= 585 , HCL=11.10 , SG=1.301 , Temp=46.2
[08:00:36] R= 471 , G= 471 , B= 471 , ORP= 585 , HCL=11.10 , SG=1.301 , Temp=46.2
[08:00:38] R= 471 , G= 471 , B= 471 , ORP= 585 , HCL=11.10 , SG=1.301 , Temp=46.2
[08:00:40] R= 477 , G= 477 , B= 477 , ORP= 586 , HCL=11.06 , SG=1.300 , Temp=46.1
[08:00:42] R= 477 , G= 477 , B= 477 , ORP= 586 , HCL=11.06 , SG=1.300 , Temp=46.1
[08:00:44] R= 484 , G= 484 , B= 484 , ORP= 586 , HCL=11.01 , SG=1.298 , Temp=46.1
[08:00:46] R= 484 , G= 484 , B= 484 , ORP= 586 , HCL=11.01 , SG=1.298 , Temp=46.1
[08:00:48] R= 484 , G= 484 , B= 484 , ORP= 586 , HCL=11.01 , SG=1.298 , Temp=46.1
[08:00:50] R= 491 , G= 491 , B= 491 , ORP= 586 , HCL=10.97 , SG=1.296 , Temp=46.0
[08:00:52] R= 491 , G= 491 , B= 491 , ORP= 586 , HCL=10.97 , SG=1.296 , Temp=46.0
[08:00:54] R= 497 , G= 497 , B= 497 , ORP= 587 , HCL=10.92 , SG=1.294 , Temp=46.0
[08:00:56] R= 497 , G= 497 , B= 497 , ORP= 587 , HCL=10.92 , SG=1.294 , Temp=46.0
[08:00:58] R= 497 , G= 497 , B= 497 , ORP= 587 , HCL=10.92 , SG=1.294 , Temp=46.0
[08:01:00] R= 504 , G= 504 , B= 504 , ORP= 587 , HCL=10.87 , SG=1.293 , Temp=45.9
[08:01:02] R= 504 , G= 504 , B= 504 , ORP= 587 , HCL=10.87 , SG=1.293 , Temp=45.9
[08:02:22] R= 604 , G= 604 , B= 604 , ORP= 589 , HCL=10.00 , SG=1.265 , Temp=45.3
[08:02:24] R= 610 , G= 610 , B= 610 , ORP= 589 , HCL= 9.93 , SG=1.264 , Temp=45.2
[08:02:26] R= 610 , G= 610 , B= 610 , ORP= 589 , HCL= 9.93 , SG=1.264 , Temp=45.2
[08:02:28] R= 616 , G= 616 , B= 616 , ORP= 589 , HCL= 9.87 , SG=1.262 , Temp=45.2
[08:02:30] R= 616 , G= 616 , B= 616 , ORP= 589 , HCL= 9.87 , SG=1.262 , Temp=45.2
[08:02:32] R= 616 , G= 616 , B= 616 , ORP= 589 , HCL= 9.87 , SG=1.262 , Temp=45.2
[08:02:34] R= 622 , G= 622 , B= 622 , ORP= 589 , HCL= 9.81 , SG=1.260 , Temp=45.2
[08:02:36] R= 622 , G= 622 , B= 622 , ORP= 589 , HCL= 9.81 , SG=1.260 , Temp=45.2
[08:02:38] R= 628 , G= 628 , B= 628 , ORP= 589 , HCL= 9.75 , SG=1.259 , Temp=45.1
[08:03:35] R= 685 , G= 685 , B= 685 , ORP= 587 , HCL= 9.03 , SG=1.242 , Temp=45.0
[08:03:37] R= 685 , G= 685 , B= 685 , ORP= 587 , HCL= 9.03 , SG=1.242 , Temp=45.0
[08:03:39] R= 690 , G= 690 , B= 690 , ORP= 587 , HCL= 8.96 , SG=1.241 , Temp=45.0
[08:03:41] R= 690 , G= 690 , B= 690 , ORP= 587 , HCL= 8.96 , SG=1.241 , Temp=45.0
[08:03:43] R= 690 , G= 690 , B= 690 , ORP= 587 , HCL= 8.96 , SG=1.241 , Temp=45.0
[08:03:45] R= 695 , G= 695 , B= 695 , ORP= 587 , HCL= 8.89 , SG=1.239 , Temp=45.0
[08:04:20] R= 725 , G= 725 , B= 725 , ORP= 584 , HCL= 8.41 , SG=1.230 , Temp=45.0
[08:04:22] R= 725 , G= 725 , B= 725 , ORP= 584 , HCL= 8.41 , SG=1.230 , Temp=45.0
[08:04:24] R= 729 , G= 729 , B= 729 , ORP= 583 , HCL= 8.34 , SG=1.229 , Temp=45.0
[08:04:26] R= 729 , G= 729 , B= 729 , ORP= 583 , HCL= 8.34 , SG=1.229 , Temp=45.0
[08:04:28] R= 733 , G= 733 , B= 733 , ORP= 583 , HCL= 8.27 , SG=1.228 , Temp=45.0
[08:04:30] R= 733 , G= 733 , B= 733 , ORP= 583 , HCL= 8.27 , SG=1.228 , Temp=45.0
[08:04:32] R= 733 , G= 733 , B= 733 , ORP= 583 , HCL= 8.27 , SG=1.228 , Temp=45.0
[08:04:34] R= 737 , G= 737 , B= 737 , ORP= 582 , HCL= 8.20 , SG=1.226 , Temp=45.0
[08:04:36] R= 737 , G= 737 , B= 737 , ORP= 582 , HCL= 8.20 , SG=1.226 , Temp=45.0
[08:04:38] R= 740 , G= 740 , B= 740 , ORP= 582 , HCL= 8.13 , SG=1.225 , Temp=45.0
[08:04:40] R= 740 , G= 740 , B= 740 , ORP= 582 , HCL= 8.13 , SG=1.225 , Temp=45.0
[08:04:42] R= 740 , G= 740 , B= 740 , ORP= 582 , HCL= 8.13 , SG=1.225 , Temp=45.0
[08:04:44] R= 744 , G= 744 , B= 744 , ORP= 581 , HCL= 8.06 , SG=1.224 , Temp=45.0
[08:04:46] R= 744 , G= 744 , B= 744 , ORP= 581 , HCL= 8.06 , SG=1.224 , Temp=45.0
[08:04:48] R= 747 , G= 747 , B= 747 , ORP= 581 , HCL= 8.00 , SG=1.223 , Temp=45.0
[08:04:50] R= 747 , G= 747 , B= 747 , ORP= 581 , HCL= 8.00 , SG=1.223 , Temp=45.0
[08:08:52] R= 416 , G= 416 , B= 416 , ORP= 581 , HCL=11.42 , SG=1.315 , Temp=46.7
[08:08:54] R= 416 , G= 416 , B= 416 , ORP= 581 , HCL=11.42 , SG=1.315 , Temp=46.7
[08:08:56] R= 416 , G= 416 , B= 416 , ORP= 581 , HCL=11.42 , SG=1.315 , Temp=46.7
[08:08:58] R= 423 , G= 423 , B= 423 , ORP= 582 , HCL=11.39 , SG=1.313 , Temp=46.6
[08:09:00] R= 423 , G= 423 , B= 423 , ORP= 582 , HCL=11.39 , SG=1.313 , Temp=46.6
[08:09:02] R= 430 , G= 430 , B= 430 , ORP= 582 , HCL=11.35 , SG=1.312 , Temp=46.5
[08:09:04] R= 430 , G= 430 , B= 430 , ORP= 582 , HCL=11.35 , SG=1.312 , Temp=46.5
[08:09:06] R= 430 , G= 430 , B= 430 , ORP= 582 , HCL=11.35 , SG=1.312 , Temp=46.5
[08:09:08] R= 437 , G= 437 , B= 437 , ORP= 583 , HCL=11.31 , SG=1.310 , Temp=46.5
[08:09:10] R= 437 , G= 437 , B= 437 , ORP= 583 , HCL=11.31 , SG=1.310 , Temp=46.5
[08:09:12] R= 443 , G= 443 , B= 443 , ORP= 583 , HCL=11.27 , SG=1.308 , Temp=46.4
[08:09:14] R= 443 , G= 443 , B= 443 , ORP= 583 , HCL=11.27 , SG=1.308 , Temp=46.4
[08:09:16] R= 443 , G= 443 , B= 443 , ORP= 583 , HCL=11.27 , SG=1.308 , Temp=46.4
[08:09:18] R= 450 , G= 450 , B= 450 , ORP= 584 , HCL=11.23 , SG=1.306 , Temp=46.4
[08:09:20] R= 450 , G= 450 , B= 450 , ORP= 584 , HCL=11.23 , SG=1.306 , Temp=46.4
[08:09:22] R= 457 , G= 457 , B= 457 , ORP= 584 , HCL=11.19 , SG=1.305 , Temp=46.3
[08:09:24] R= 457 , G= 457 , B= 457 , ORP= 584 , HCL=11.19 , SG=1.305 , Temp=46.3
[08:09:26] R= 457 , G= 457 , B= 457 , ORP= 584 , HCL=11.19 , SG=1.305 , Temp=46.3
[08:09:28] R= 464 , G= 464 , B= 464 , ORP= 585 , HCL=11.15 , SG=1.303 , Temp=46.2
[08:09:30] R= 464 , G= 464 , B= 464 , ORP= 585 , HCL=11.15 , SG=1.303 , Temp=46.2
[08:09:32] R= 471 , G= 471 , B= 471 , ORP= 585 , HCL=11.10 , SG=1.301 , Temp=46.2
[08:09:34] R= 471 , G= 471 , B= 471 , ORP= 585 , HCL=11.10 , SG=1.301 , Temp=46.2
[08:09:36] R= 471 , G= 471 , B= 471 , ORP= 585 , HCL=11.10 , SG=1.301 , Temp=46.2
[08:09:38] R= 477 , G= 477 , B= 477 , ORP= 586 , HCL=11.06 , SG=1.300 , Temp=46.1
[08:09:40] R= 477 , G= 477 , B= 477 , ORP= 586 , HCL=11.06 , SG=1.300 , Temp=46.1
[08:09:42] R= 484 , G= 484 , B= 484 , ORP= 586 , HCL=11.01 , SG=1.298 , Temp=46.1
[08:09:44] R= 484 , G= 484 , B= 484 , ORP= 586 , HCL=11.01 , SG=1.298 , Temp=46.1
[08:09:46] R= 484 , G= 484 , B= 484 , ORP= 586 , HCL=11.01 , SG=1.298 , Temp=46.1
[08:09:48] R= 491 , G= 491 , B= 491 , ORP= 586 , HCL=10.97 , SG=1.296 , Temp=46.0
[08:09:50] R= 491 , G= 491 , B= 491 , ORP= 586 , HCL=10.97 , SG=1.296 , Temp=46.0
[08:09:52] R= 497 , G= 497 , B= 497 , ORP= 587 , HCL=10.92 , SG=1.294 , Temp=46.0
[08:09:54] R= 497 , G= 497 , B= 497 , ORP= 587 , HCL=10.92 , SG=1.294 , Temp=46.0
[08:09:56] R= 497 , G= 497 , B= 497 , ORP= 587 , HCL=10.92 , SG=1.294 , Temp=46.0
[08:09:58] R= 504 , G= 504 , B= 504 , ORP= 587 , HCL=10.87 , SG=1.293 , Temp=45.9
[08:10:00] R= 504 , G= 504 , B= 504 , ORP= 587 , HCL=10.87 , SG=1.293 , Temp=45.9
[08:10:02] R= 510 , G= 510 , B= 510 , ORP= 587 , HCL=10.82 , SG=1.291 , Temp=45.9
[08:10:04] R= 510 , G= 510 , B= 510 , ORP= 587 , HCL=10.82 , SG=1.291 , Temp=45.9
