[20:22:31] R= 416 , G= 416 , B= 416 , ORP= 581 , HCL= 1.14 , SG=1.315 , Temp=46.7
[20:22:32] R= 416 , G= 416 , B= 416 , ORP= 581 , HCL= 1.14 , SG=1.315 , Temp=46.7
[20:22:34] R= 423 , G= 423 , B= 423 , ORP= 582 , HCL= 1.13 , SG=1.313 , Temp=46.6
[20:22:36] R= 423 , G= 423 , B= 423 , ORP= 582 , HCL= 1.13 , SG=1.313 , Temp=46.6
[20:22:38] R= 430 , G= 430 , B= 430 , ORP= 582 , HCL= 1.13 , SG=1.312 , Temp=46.5
[20:22:40] R= 430 , G= 430 , B= 430 , ORP= 582 , HCL= 1.13 , SG=1.312 , Temp=46.5
[20:22:42] R= 430 , G= 430 , B= 430 , ORP= 582 , HCL= 1.13 , SG=1.312 , Temp=46.5
[20:22:44] R= 437 , G= 437 , B= 437 , ORP= 583 , HCL= 1.13 , SG=1.310 , Temp=46.5
[20:22:46] R= 437 , G= 437 , B= 437 , ORP= 583 , HCL= 1.13 , SG=1.310 , Temp=46.5
[20:22:48] R= 443 , G= 443 , B= 443 , ORP= 583 , HCL= 1.12 , SG=1.308 , Temp=46.4
[20:22:50] R= 443 , G= 443 , B= 443 , ORP= 583 , HCL= 1.12 , SG=1.308 , Temp=46.4
[20:22:52] R= 443 , G= 443 , B= 443 , ORP= 583 , HCL= 1.12 , SG=1.308 , Temp=46.4
[20:22:54] R= 450 , G= 450 , B= 450 , ORP= 584 , HCL= 1.12 , SG=1.306 , Temp=46.4
[20:22:56] R= 450 , G= 450 , B= 450 , ORP= 584 , HCL= 1.12 , SG=1.306 , Temp=46.4
[20:22:58] R= 457 , G= 457 , B= 457 , ORP= 584 , HCL= 1.11 , SG=1.305 , Temp=46.3
[20:23:00] R= 457 , G= 457 , B= 457 , ORP= 584 , HCL= 1.11 , SG=1.305 , Temp=46.3
[20:23:02] R= 457 , G= 457 , B= 457 , ORP= 584 , HCL= 1.11 , SG=1.305 , Temp=46.3
[20:23:04] R= 464 , G= 464 , B= 464 , ORP= 585 , HCL= 1.11 , SG=1.303 , Temp=46.2
[20:23:06] R= 464 , G= 464 , B= 464 , ORP= 585 , HCL= 1.11 , SG=1.303 , Temp=46.2
[20:23:08] R= 471 , G= 471 , B= 471 , ORP= 585 , HCL= 1.11 , SG=1.301 , Temp=46.2
[20:23:10] R= 471 , G= 471 , B= 471 , ORP= 585 , HCL= 1.11 , SG=1.301 , Temp=46.2
[20:23:12] R= 471 , G= 471 , B= 471 , ORP= 585 , HCL= 1.11 , SG=1.301 , Temp=46.2
[20:23:17] R= 477 , G= 477 , B= 477 , ORP= 586 , HCL= 1.10 , SG=1.300 , Temp=46.1
