[21:28:42] R= 423 , G= 423 , B= 423 , ORP= 582 , HCL= 1.13 , SG=1.313 , Temp=46.6
[21:28:44] R= 423 , G= 423 , B= 423 , ORP= 582 , HCL= 1.13 , SG=1.313 , Temp=46.6
[21:28:46] R= 430 , G= 430 , B= 430 , ORP= 582 , HCL= 1.13 , SG=1.312 , Temp=46.5
[21:28:48] R= 430 , G= 430 , B= 430 , ORP= 582 , HCL= 1.13 , SG=1.312 , Temp=46.5
[21:28:50] R= 430 , G= 430 , B= 430 , ORP= 582 , HCL= 1.13 , SG=1.312 , Temp=46.5
[21:28:52] R= 437 , G= 437 , B= 437 , ORP= 583 , HCL= 1.13 , SG=1.310 , Temp=46.5
[21:28:54] R= 437 , G= 437 , B= 437 , ORP= 583 , HCL= 1.13 , SG=1.310 , Temp=46.5
[21:28:56] R= 498 , G= 498 , B= 498 , ORP= 583 , HCL= 1.12 , SG=1.308 , Temp=46.4
[21:28:58] R= 498 , G= 498 , B= 498 , ORP= 583 , HCL= 1.12 , SG=1.308 , Temp=46.4
[21:29:01] R= 498 , G= 498 , B= 498 , ORP= 583 , HCL= 1.12 , SG=1.308 , Temp=46.4
[21:29:02] R= 505 , G= 505 , B= 505 , ORP= 584 , HCL= 1.12 , SG=1.306 , Temp=46.4
[21:30:53] R= 666 , G= 666 , B= 666 , ORP= 589 , HCL= 1.01 , SG=1.269 , Temp=45.3
[21:30:55] R= 666 , G= 666 , B= 666 , ORP= 589 , HCL= 1.01 , SG=1.269 , Temp=45.3
[21:30:57] R= 673 , G= 673 , B= 673 , ORP= 589 , HCL= 1.00 , SG=1.267 , Temp=45.3
[21:30:59] R= 673 , G= 673 , B= 673 , ORP= 589 , HCL= 1.00 , SG=1.267 , Temp=45.3
[21:31:01] R= 673 , G= 673 , B= 673 , ORP= 589 , HCL= 1.00 , SG=1.267 , Temp=45.3
[21:31:03] R= 679 , G= 679 , B= 679 , ORP= 589 , HCL= 1.00 , SG=1.265 , Temp=45.3
[21:31:05] R= 679 , G= 679 , B= 679 , ORP= 589 , HCL= 1.00 , SG=1.265 , Temp=45.3
[21:31:34] R= 718 , G= 718 , B= 718 , ORP= 589 , HCL= 0.96 , SG=1.256 , Temp=45.1
[21:31:36] R= 718 , G= 718 , B= 718 , ORP= 589 , HCL= 0.96 , SG=1.256 , Temp=45.1
[21:31:38] R= 724 , G= 724 , B= 724 , ORP= 589 , HCL= 0.95 , SG=1.254 , Temp=45.1
[21:31:40] R= 724 , G= 724 , B= 724 , ORP= 589 , HCL= 0.95 , SG=1.254 , Temp=45.1
[21:31:42] R= 730 , G= 730 , B= 730 , ORP= 589 , HCL= 0.94 , SG=1.253 , Temp=45.1
[21:31:44] R= 730 , G= 730 , B= 730 , ORP= 589 , HCL= 0.94 , SG=1.253 , Temp=45.1
[21:31:46] R= 730 , G= 730 , B= 730 , ORP= 589 , HCL= 0.94 , SG=1.253 , Temp=45.1
[21:31:48] R= 736 , G= 736 , B= 736 , ORP= 589 , HCL= 0.94 , SG=1.251 , Temp=45.0
[21:31:50] R= 736 , G= 736 , B= 736 , ORP= 589 , HCL= 0.94 , SG=1.251 , Temp=45.0
[21:31:52] R= 742 , G= 742 , B= 742 , ORP= 589 , HCL= 0.93 , SG=1.250 , Temp=45.0
[21:32:13] R= 765 , G= 765 , B= 765 , ORP= 588 , HCL= 0.91 , SG=1.244 , Temp=45.0
[21:32:15] R= 765 , G= 765 , B= 765 , ORP= 588 , HCL= 0.91 , SG=1.244 , Temp=45.0
[21:32:17] R= 771 , G= 771 , B= 771 , ORP= 587 , HCL= 0.90 , SG=1.242 , Temp=45.0
[21:32:19] R= 771 , G= 771 , B= 771 , ORP= 587 , HCL= 0.90 , SG=1.242 , Temp=45.0
[21:32:21] R= 776 , G= 776 , B= 776 , ORP= 587 , HCL= 0.89 , SG=1.241 , Temp=45.0
[21:32:23] R= 776 , G= 776 , B= 776 , ORP= 587 , HCL= 0.89 , SG=1.241 , Temp=45.0
[21:32:25] R= 776 , G= 776 , B= 776 , ORP= 587 , HCL= 0.89 , SG=1.241 , Temp=45.0
[21:32:27] R= 781 , G= 781 , B= 781 , ORP= 587 , HCL= 0.88 , SG=1.239 , Temp=45.0
[21:32:29] R= 781 , G= 781 , B= 781 , ORP= 587 , HCL= 0.88 , SG=1.239 , Temp=45.0
[21:32:31] R= 786 , G= 786 , B= 786 , ORP= 586 , HCL= 0.88 , SG=1.238 , Temp=45.0
[21:32:33] R= 786 , G= 786 , B= 786 , ORP= 586 , HCL= 0.88 , SG=1.238 , Temp=45.0
[21:32:35] R= 786 , G= 786 , B= 786 , ORP= 586 , HCL= 0.88 , SG=1.238 , Temp=45.0
[21:32:37] R= 792 , G= 792 , B= 792 , ORP= 586 , HCL= 0.87 , SG=1.237 , Temp=45.0
[21:32:39] R= 792 , G= 792 , B= 792 , ORP= 586 , HCL= 0.87 , SG=1.237 , Temp=45.0
[21:32:41] R= 797 , G= 797 , B= 797 , ORP= 586 , HCL= 0.86 , SG=1.235 , Temp=45.0
[21:33:15] R= 824 , G= 824 , B= 824 , ORP= 583 , HCL= 0.82 , SG=1.228 , Temp=45.0
[21:33:17] R= 829 , G= 829 , B= 829 , ORP= 582 , HCL= 0.82 , SG=1.226 , Temp=45.0
[21:33:19] R= 829 , G= 829 , B= 829 , ORP= 582 , HCL= 0.82 , SG=1.226 , Temp=45.0
[21:33:21] R= 829 , G= 829 , B= 829 , ORP= 582 , HCL= 0.82 , SG=1.226 , Temp=45.0
[21:33:23] R= 833 , G= 833 , B= 833 , ORP= 582 , HCL= 0.81 , SG=1.225 , Temp=45.0
[21:33:25] R= 833 , G= 833 , B= 833 , ORP= 582 , HCL= 0.81 , SG=1.225 , Temp=45.0
[21:33:27] R= 837 , G= 837 , B= 837 , ORP= 581 , HCL= 0.80 , SG=1.224 , Temp=45.0
[21:33:29] R= 837 , G= 837 , B= 837 , ORP= 581 , HCL= 0.80 , SG=1.224 , Temp=45.0
[21:33:31] R= 837 , G= 837 , B= 837 , ORP= 581 , HCL= 0.80 , SG=1.224 , Temp=45.0
[21:33:33] R= 841 , G= 841 , B= 841 , ORP= 581 , HCL= 0.80 , SG=1.223 , Temp=45.0
[21:33:35] R= 841 , G= 841 , B= 841 , ORP= 581 , HCL= 0.80 , SG=1.223 , Temp=45.0
[21:33:37] R= 751 , G= 751 , B= 751 , ORP= 580 , HCL= 0.79 , SG=1.222 , Temp=45.0
