[20:03:10] R= 760 , G= 760 , B= 760 , ORP= 578 , HCL= 7.72 , SG=1.219 , Temp=45.1
[20:03:11] R= 763 , G= 763 , B= 763 , ORP= 578 , HCL= 7.65 , SG=1.218 , Temp=45.1
[20:03:13] R= 763 , G= 763 , B= 763 , ORP= 578 , HCL= 7.65 , SG=1.218 , Temp=45.1
[20:03:15] R= 763 , G= 763 , B= 763 , ORP= 578 , HCL= 7.65 , SG=1.218 , Temp=45.1
[20:03:17] R= 766 , G= 766 , B= 766 , ORP= 577 , HCL= 7.58 , SG=1.217 , Temp=45.1
[20:03:19] R= 766 , G= 766 , B= 766 , ORP= 577 , HCL= 7.58 , SG=1.217 , Temp=45.1
[20:04:10] R= 788 , G= 788 , B= 788 , ORP= 570 , HCL= 6.89 , SG=1.208 , Temp=45.5
[20:04:12] R= 790 , G= 790 , B= 790 , ORP= 569 , HCL= 6.83 , SG=1.207 , Temp=45.5
[20:04:14] R= 790 , G= 790 , B= 790 , ORP= 569 , HCL= 6.83 , SG=1.207 , Temp=45.5
[20:04:16] R= 791 , G= 791 , B= 791 , ORP= 568 , HCL= 6.76 , SG=1.207 , Temp=45.5
[20:04:18] R= 791 , G= 791 , B= 791 , ORP= 568 , HCL= 6.76 , SG=1.207 , Temp=45.5
[20:04:20] R= 791 , G= 791 , B= 791 , ORP= 568 , HCL= 6.76 , SG=1.207 , Temp=45.5
[20:04:22] R= 792 , G= 792 , B= 792 , ORP= 567 , HCL= 6.69 , SG=1.206 , Temp=45.6
[20:04:24] R= 792 , G= 792 , B= 792 , ORP= 567 , HCL= 6.69 , SG=1.206 , Temp=45.6
[20:04:26] R= 794 , G= 794 , B= 794 , ORP= 566 , HCL= 6.63 , SG=1.206 , Temp=45.6
[20:04:28] R= 794 , G= 794 , B= 794 , ORP= 566 , HCL= 6.63 , SG=1.206 , Temp=45.6
[20:05:14] R= 799 , G= 799 , B= 799 , ORP= 558 , HCL= 6.06 , SG=1.201 , Temp=46.1
[20:05:15] R= 799 , G= 799 , B= 799 , ORP= 558 , HCL= 6.06 , SG=1.201 , Temp=46.1
[20:05:17] R= 799 , G= 799 , B= 799 , ORP= 557 , HCL= 6.00 , SG=1.201 , Temp=46.1
[20:05:19] R= 799 , G= 799 , B= 799 , ORP= 557 , HCL= 6.00 , SG=1.201 , Temp=46.1
[20:05:21] R= 799 , G= 799 , B= 799 , ORP= 556 , HCL= 5.93 , SG=1.201 , Temp=46.2
[20:05:23] R= 799 , G= 799 , B= 799 , ORP= 556 , HCL= 5.93 , SG=1.201 , Temp=46.2
[20:05:25] R= 799 , G= 799 , B= 799 , ORP= 556 , HCL= 5.93 , SG=1.201 , Temp=46.2
