[20:57:13] R= 423 , G= 423 , B= 423 , ORP= 582 , HCL= 1.13 , SG=1.313 , Temp=46.6
[20:57:15] R= 423 , G= 423 , B= 423 , ORP= 582 , HCL= 1.13 , SG=1.313 , Temp=46.6
[20:57:17] R= 423 , G= 423 , B= 423 , ORP= 582 , HCL= 1.13 , SG=1.313 , Temp=46.6
[20:57:19] R= 430 , G= 430 , B= 430 , ORP= 582 , HCL= 1.13 , SG=1.312 , Temp=46.5
[20:57:21] R= 430 , G= 430 , B= 430 , ORP= 582 , HCL= 1.13 , SG=1.312 , Temp=46.5
[20:57:23] R= 437 , G= 437 , B= 437 , ORP= 583 , HCL= 1.13 , SG=1.310 , Temp=46.5
[20:57:25] R= 437 , G= 437 , B= 437 , ORP= 583 , HCL= 1.13 , SG=1.310 , Temp=46.5
[20:57:27] R= 437 , G= 437 , B= 437 , ORP= 583 , HCL= 1.13 , SG=1.310 , Temp=46.5
[20:57:29] R= 443 , G= 443 , B= 443 , ORP= 583 , HCL= 1.12 , SG=1.308 , Temp=46.4
[20:57:31] R= 443 , G= 443 , B= 443 , ORP= 583 , HCL= 1.12 , SG=1.308 , Temp=46.4
[20:57:33] R= 450 , G= 450 , B= 450 , ORP= 584 , HCL= 1.12 , SG=1.306 , Temp=46.4
[20:57:35] R= 450 , G= 450 , B= 450 , ORP= 584 , HCL= 1.12 , SG=1.306 , Temp=46.4
[20:57:37] R= 450 , G= 450 , B= 450 , ORP= 584 , HCL= 1.12 , SG=1.306 , Temp=46.4
[20:57:39] R= 457 , G= 457 , B= 457 , ORP= 584 , HCL= 1.11 , SG=1.305 , Temp=46.3
[20:57:41] R= 457 , G= 457 , B= 457 , ORP= 584 , HCL= 1.11 , SG=1.305 , Temp=46.3
[20:57:43] R= 464 , G= 464 , B= 464 , ORP= 585 , HCL= 1.11 , SG=1.303 , Temp=46.2
[20:57:45] R= 464 , G= 464 , B= 464 , ORP= 585 , HCL= 1.11 , SG=1.303 , Temp=46.2
[20:57:47] R= 464 , G= 464 , B= 464 , ORP= 585 , HCL= 1.11 , SG=1.303 , Temp=46.2
[20:57:49] R= 471 , G= 471 , B= 471 , ORP= 585 , HCL= 1.11 , SG=1.301 , Temp=46.2
[20:57:51] R= 471 , G= 471 , B= 471 , ORP= 585 , HCL= 1.11 , SG=1.301 , Temp=46.2
[20:57:53] R= 477 , G= 477 , B= 477 , ORP= 586 , HCL= 1.10 , SG=1.300 , Temp=46.1
[20:57:55] R= 477 , G= 477 , B= 477 , ORP= 586 , HCL= 1.10 , SG=1.300 , Temp=46.1
[20:57:57] R= 477 , G= 477 , B= 477 , ORP= 586 , HCL= 1.10 , SG=1.300 , Temp=46.1
[20:57:59] R= 484 , G= 484 , B= 484 , ORP= 586 , HCL= 1.10 , SG=1.298 , Temp=46.1
[20:58:01] R= 484 , G= 484 , B= 484 , ORP= 586 , HCL= 1.10 , SG=1.298 , Temp=46.1
[20:58:03] R= 491 , G= 491 , B= 491 , ORP= 586 , HCL= 1.09 , SG=1.296 , Temp=46.0
[20:58:05] R= 491 , G= 491 , B= 491 , ORP= 586 , HCL= 1.09 , SG=1.296 , Temp=46.0
[20:58:07] R= 491 , G= 491 , B= 491 , ORP= 586 , HCL= 1.09 , SG=1.296 , Temp=46.0
[20:58:09] R= 497 , G= 497 , B= 497 , ORP= 587 , HCL= 1.09 , SG=1.294 , Temp=46.0
[20:58:11] R= 497 , G= 497 , B= 497 , ORP= 587 , HCL= 1.09 , SG=1.294 , Temp=46.0
[20:58:13] R= 504 , G= 504 , B= 504 , ORP= 587 , HCL= 1.08 , SG=1.293 , Temp=45.9
[20:58:15] R= 504 , G= 504 , B= 504 , ORP= 587 , HCL= 1.08 , SG=1.293 , Temp=45.9
[20:58:18] R= 504 , G= 504 , B= 504 , ORP= 587 , HCL= 1.08 , SG=1.293 , Temp=45.9
[20:58:20] R= 510 , G= 510 , B= 510 , ORP= 587 , HCL= 1.08 , SG=1.291 , Temp=45.9
[20:58:22] R= 510 , G= 510 , B= 510 , ORP= 587 , HCL= 1.08 , SG=1.291 , Temp=45.9
[20:58:24] R= 517 , G= 517 , B= 517 , ORP= 588 , HCL= 1.07 , SG=1.289 , Temp=45.8
[20:58:26] R= 517 , G= 517 , B= 517 , ORP= 588 , HCL= 1.07 , SG=1.289 , Temp=45.8
[20:58:28] R= 517 , G= 517 , B= 517 , ORP= 588 , HCL= 1.07 , SG=1.289 , Temp=45.8
[20:58:30] R= 524 , G= 524 , B= 524 , ORP= 588 , HCL= 1.07 , SG=1.287 , Temp=45.8
[20:58:32] R= 524 , G= 524 , B= 524 , ORP= 588 , HCL= 1.07 , SG=1.287 , Temp=45.8
[20:58:34] R= 530 , G= 530 , B= 530 , ORP= 588 , HCL= 1.06 , SG=1.286 , Temp=45.7
[20:58:36] R= 530 , G= 530 , B= 530 , ORP= 588 , HCL= 1.06 , SG=1.286 , Temp=45.7
[20:58:38] R= 530 , G= 530 , B= 530 , ORP= 588 , HCL= 1.06 , SG=1.286 , Temp=45.7
[20:58:40] R= 536 , G= 536 , B= 536 , ORP= 588 , HCL= 1.06 , SG=1.284 , Temp=45.7
[20:58:42] R= 536 , G= 536 , B= 536 , ORP= 588 , HCL= 1.06 , SG=1.284 , Temp=45.7
[20:58:44] R= 543 , G= 543 , B= 543 , ORP= 589 , HCL= 1.05 , SG=1.282 , Temp=45.6
[20:58:46] R= 543 , G= 543 , B= 543 , ORP= 589 , HCL= 1.05 , SG=1.282 , Temp=45.6
[20:58:48] R= 543 , G= 543 , B= 543 , ORP= 589 , HCL= 1.05 , SG=1.282 , Temp=45.6
[20:58:50] R= 549 , G= 549 , B= 549 , ORP= 589 , HCL= 1.05 , SG=1.280 , Temp=45.6
[20:58:52] R= 549 , G= 549 , B= 549 , ORP= 589 , HCL= 1.05 , SG=1.280 , Temp=45.6
[20:58:54] R= 556 , G= 556 , B= 556 , ORP= 589 , HCL= 1.04 , SG=1.279 , Temp=45.5
[20:58:56] R= 556 , G= 556 , B= 556 , ORP= 589 , HCL= 1.04 , SG=1.279 , Temp=45.5
[20:58:58] R= 556 , G= 556 , B= 556 , ORP= 589 , HCL= 1.04 , SG=1.279 , Temp=45.5
[20:59:00] R= 562 , G= 562 , B= 562 , ORP= 589 , HCL= 1.04 , SG=1.277 , Temp=45.5
[20:59:02] R= 562 , G= 562 , B= 562 , ORP= 589 , HCL= 1.04 , SG=1.277 , Temp=45.5
[20:59:04] R= 568 , G= 568 , B= 568 , ORP= 589 , HCL= 1.03 , SG=1.275 , Temp=45.5
[20:59:06] R= 568 , G= 568 , B= 568 , ORP= 589 , HCL= 1.03 , SG=1.275 , Temp=45.5
