[22:07:00] R= 795 , G= 795 , B= 795 , ORP= 565 , HCL= 0.65 , SG=1.205 , Temp=45.7
[22:07:40] R= 799 , G= 799 , B= 799 , ORP= 558 , HCL= 0.60 , SG=1.201 , Temp=46.1
[22:07:42] R= 799 , G= 799 , B= 799 , ORP= 558 , HCL= 0.60 , SG=1.201 , Temp=46.1
[22:07:44] R= 799 , G= 799 , B= 799 , ORP= 557 , HCL= 0.60 , SG=1.201 , Temp=46.1
[22:07:46] R= 799 , G= 799 , B= 799 , ORP= 557 , HCL= 0.60 , SG=1.201 , Temp=46.1
[22:13:04] R= 580 , G= 580 , B= 580 , ORP= 488 , HCL= 0.40 , SG=1.241 , Temp=51.2
[22:13:06] R= 580 , G= 580 , B= 580 , ORP= 488 , HCL= 0.40 , SG=1.241 , Temp=51.2
[22:13:08] R= 574 , G= 574 , B= 574 , ORP= 487 , HCL= 0.40 , SG=1.242 , Temp=51.2
[22:13:10] R= 574 , G= 574 , B= 574 , ORP= 487 , HCL= 0.40 , SG=1.242 , Temp=51.2
[22:13:12] R= 574 , G= 574 , B= 574 , ORP= 487 , HCL= 0.40 , SG=1.242 , Temp=51.2
[22:13:14] R= 568 , G= 568 , B= 568 , ORP= 486 , HCL= 0.40 , SG=1.244 , Temp=51.3
[22:13:16] R= 568 , G= 568 , B= 568 , ORP= 486 , HCL= 0.40 , SG=1.244 , Temp=51.3
[22:13:18] R= 562 , G= 562 , B= 562 , ORP= 485 , HCL= 0.40 , SG=1.245 , Temp=51.4
[22:13:20] R= 562 , G= 562 , B= 562 , ORP= 485 , HCL= 0.40 , SG=1.245 , Temp=51.4
[22:13:22] R= 562 , G= 562 , B= 562 , ORP= 485 , HCL= 0.40 , SG=1.245 , Temp=51.4
[22:13:24] R= 556 , G= 556 , B= 556 , ORP= 484 , HCL= 0.40 , SG=1.247 , Temp=51.5
[22:13:26] R= 556 , G= 556 , B= 556 , ORP= 484 , HCL= 0.40 , SG=1.247 , Temp=51.5
[22:16:23] R= 315 , G= 315 , B= 315 , ORP= 462 , HCL= 0.51 , SG=1.306 , Temp=54.0
[22:16:25] R= 315 , G= 315 , B= 315 , ORP= 462 , HCL= 0.51 , SG=1.306 , Temp=54.0
[22:16:27] R= 315 , G= 315 , B= 315 , ORP= 462 , HCL= 0.51 , SG=1.306 , Temp=54.0
[22:16:29] R= 309 , G= 309 , B= 309 , ORP= 462 , HCL= 0.51 , SG=1.308 , Temp=54.0
[22:16:31] R= 309 , G= 309 , B= 309 , ORP= 462 , HCL= 0.51 , SG=1.308 , Temp=54.0
[22:16:33] R= 302 , G= 302 , B= 302 , ORP= 461 , HCL= 0.52 , SG=1.310 , Temp=54.1
[22:18:28] R= 164 , G= 164 , B= 164 , ORP= 460 , HCL= 0.65 , SG=1.348 , Temp=54.9
[22:18:30] R= 164 , G= 164 , B= 164 , ORP= 460 , HCL= 0.65 , SG=1.348 , Temp=54.9
[22:18:32] R= 164 , G= 164 , B= 164 , ORP= 460 , HCL= 0.65 , SG=1.348 , Temp=54.9
[22:18:34] R= 159 , G= 159 , B= 159 , ORP= 460 , HCL= 0.66 , SG=1.349 , Temp=54.9
[22:18:36] R= 159 , G= 159 , B= 159 , ORP= 460 , HCL= 0.66 , SG=1.349 , Temp=54.9
[22:18:38] R= 154 , G= 154 , B= 154 , ORP= 461 , HCL= 0.66 , SG=1.351 , Temp=54.9
[22:18:40] R= 154 , G= 154 , B= 154 , ORP= 461 , HCL= 0.66 , SG=1.351 , Temp=54.9
[22:18:42] R= 154 , G= 154 , B= 154 , ORP= 461 , HCL= 0.66 , SG=1.351 , Temp=54.9
[22:18:44] R= 149 , G= 149 , B= 149 , ORP= 461 , HCL= 0.67 , SG=1.352 , Temp=54.9
[22:18:46] R= 149 , G= 149 , B= 149 , ORP= 461 , HCL= 0.67 , SG=1.352 , Temp=54.9
[22:18:48] R= 144 , G= 144 , B= 144 , ORP= 461 , HCL= 0.68 , SG=1.354 , Temp=54.9
[22:18:50] R= 144 , G= 144 , B= 144 , ORP= 461 , HCL= 0.68 , SG=1.354 , Temp=54.9
[22:18:52] R= 144 , G= 144 , B= 144 , ORP= 461 , HCL= 0.68 , SG=1.354 , Temp=54.9
[22:18:54] R= 139 , G= 139 , B= 139 , ORP= 461 , HCL= 0.68 , SG=1.355 , Temp=54.9
[22:18:56] R= 139 , G= 139 , B= 139 , ORP= 461 , HCL= 0.68 , SG=1.355 , Temp=54.9
[22:18:58] R= 134 , G= 134 , B= 134 , ORP= 462 , HCL= 0.69 , SG=1.357 , Temp=54.9
[22:19:00] R= 134 , G= 134 , B= 134 , ORP= 462 , HCL= 0.69 , SG=1.357 , Temp=54.9
[22:19:02] R= 134 , G= 134 , B= 134 , ORP= 462 , HCL= 0.69 , SG=1.357 , Temp=54.9
[22:19:04] R= 129 , G= 129 , B= 129 , ORP= 462 , HCL= 0.70 , SG=1.358 , Temp=54.9
[22:19:06] R= 129 , G= 129 , B= 129 , ORP= 462 , HCL= 0.70 , SG=1.358 , Temp=54.9
[22:19:08] R= 124 , G= 124 , B= 124 , ORP= 462 , HCL= 0.71 , SG=1.360 , Temp=54.9
[22:19:10] R= 124 , G= 124 , B= 124 , ORP= 462 , HCL= 0.71 , SG=1.360 , Temp=54.9
[22:19:12] R= 124 , G= 124 , B= 124 , ORP= 462 , HCL= 0.71 , SG=1.360 , Temp=54.9
[22:19:14] R= 120 , G= 120 , B= 120 , ORP= 463 , HCL= 0.71 , SG=1.361 , Temp=54.9
[22:19:16] R= 120 , G= 120 , B= 120 , ORP= 463 , HCL= 0.71 , SG=1.361 , Temp=54.9
[22:19:18] R= 115 , G= 115 , B= 115 , ORP= 463 , HCL= 0.72 , SG=1.362 , Temp=54.9
[22:19:20] R= 115 , G= 115 , B= 115 , ORP= 463 , HCL= 0.72 , SG=1.362 , Temp=54.9
[22:19:22] R= 115 , G= 115 , B= 115 , ORP= 463 , HCL= 0.72 , SG=1.362 , Temp=54.9
[22:19:24] R= 111 , G= 111 , B= 111 , ORP= 463 , HCL= 0.73 , SG=1.364 , Temp=54.9
[22:19:26] R= 111 , G= 111 , B= 111 , ORP= 463 , HCL= 0.73 , SG=1.364 , Temp=54.9
[22:19:28] R= 106 , G= 106 , B= 106 , ORP= 464 , HCL= 0.73 , SG=1.365 , Temp=54.9
[22:19:30] R= 106 , G= 106 , B= 106 , ORP= 464 , HCL= 0.73 , SG=1.365 , Temp=54.9
[22:19:32] R= 106 , G= 106 , B= 106 , ORP= 464 , HCL= 0.73 , SG=1.365 , Temp=54.9
[22:19:34] R= 102 , G= 102 , B= 102 , ORP= 464 , HCL= 0.74 , SG=1.366 , Temp=54.9
[22:19:36] R= 102 , G= 102 , B= 102 , ORP= 464 , HCL= 0.74 , SG=1.366 , Temp=54.9
[22:19:38] R=  98 , G=  98 , B=  98 , ORP= 465 , HCL= 0.75 , SG=1.368 , Temp=54.9
[22:19:40] R=  98 , G=  98 , B=  98 , ORP= 465 , HCL= 0.75 , SG=1.368 , Temp=54.9
[22:19:42] R=  98 , G=  98 , B=  98 , ORP= 465 , HCL= 0.75 , SG=1.368 , Temp=54.9
[22:19:44] R=  94 , G=  94 , B=  94 , ORP= 465 , HCL= 0.75 , SG=1.369 , Temp=54.9
[22:19:46] R=  94 , G=  94 , B=  94 , ORP= 465 , HCL= 0.75 , SG=1.369 , Temp=54.9
[22:19:48] R=  90 , G=  90 , B=  90 , ORP= 466 , HCL= 0.76 , SG=1.370 , Temp=54.9
[22:19:50] R=  90 , G=  90 , B=  90 , ORP= 466 , HCL= 0.76 , SG=1.370 , Temp=54.9
[22:19:52] R=  90 , G=  90 , B=  90 , ORP= 466 , HCL= 0.76 , SG=1.370 , Temp=54.9
[22:19:54] R=  86 , G=  86 , B=  86 , ORP= 466 , HCL= 0.77 , SG=1.371 , Temp=54.9
[22:19:56] R=  86 , G=  86 , B=  86 , ORP= 466 , HCL= 0.77 , SG=1.371 , Temp=54.9
[22:19:58] R=  82 , G=  82 , B=  82 , ORP= 467 , HCL= 0.77 , SG=1.373 , Temp=54.9
[22:20:00] R=  82 , G=  82 , B=  82 , ORP= 467 , HCL= 0.77 , SG=1.373 , Temp=54.9
[22:20:02] R=  82 , G=  82 , B=  82 , ORP= 467 , HCL= 0.77 , SG=1.373 , Temp=54.9
[22:20:04] R=  79 , G=  79 , B=  79 , ORP= 467 , HCL= 0.78 , SG=1.374 , Temp=54.9
[22:20:07] R=  79 , G=  79 , B=  79 , ORP= 467 , HCL= 0.78 , SG=1.374 , Temp=54.9
[22:20:09] R=  75 , G=  75 , B=  75 , ORP= 468 , HCL= 0.79 , SG=1.375 , Temp=54.9
[22:20:11] R=  75 , G=  75 , B=  75 , ORP= 468 , HCL= 0.79 , SG=1.375 , Temp=54.9
[22:20:13] R=  75 , G=  75 , B=  75 , ORP= 468 , HCL= 0.79 , SG=1.375 , Temp=54.9
[22:20:15] R=  72 , G=  72 , B=  72 , ORP= 468 , HCL= 0.80 , SG=1.376 , Temp=54.9
[22:20:17] R=  72 , G=  72 , B=  72 , ORP= 468 , HCL= 0.80 , SG=1.376 , Temp=54.9
[22:20:19] R=  68 , G=  68 , B=  68 , ORP= 469 , HCL= 0.80 , SG=1.377 , Temp=54.9
[22:20:21] R=  68 , G=  68 , B=  68 , ORP= 469 , HCL= 0.80 , SG=1.377 , Temp=54.9
[22:20:23] R=  68 , G=  68 , B=  68 , ORP= 469 , HCL= 0.80 , SG=1.377 , Temp=54.9
[22:20:25] R=  65 , G=  65 , B=  65 , ORP= 469 , HCL= 0.81 , SG=1.378 , Temp=54.8
[22:20:27] R=  65 , G=  65 , B=  65 , ORP= 469 , HCL= 0.81 , SG=1.378 , Temp=54.8
[22:20:29] R=  62 , G=  62 , B=  62 , ORP= 470 , HCL= 0.82 , SG=1.379 , Temp=54.8
[22:20:31] R=  62 , G=  62 , B=  62 , ORP= 470 , HCL= 0.82 , SG=1.379 , Temp=54.8
[22:20:33] R=  62 , G=  62 , B=  62 , ORP= 470 , HCL= 0.82 , SG=1.379 , Temp=54.8
[22:20:35] R=  59 , G=  59 , B=  59 , ORP= 471 , HCL= 0.82 , SG=1.380 , Temp=54.8
[22:20:37] R=  59 , G=  59 , B=  59 , ORP= 471 , HCL= 0.82 , SG=1.380 , Temp=54.8
[22:20:39] R=  56 , G=  56 , B=  56 , ORP= 471 , HCL= 0.83 , SG=1.381 , Temp=54.8
[22:20:41] R=  56 , G=  56 , B=  56 , ORP= 471 , HCL= 0.83 , SG=1.381 , Temp=54.8
[22:20:43] R=  56 , G=  56 , B=  56 , ORP= 471 , HCL= 0.83 , SG=1.381 , Temp=54.8
[22:20:45] R=  53 , G=  53 , B=  53 , ORP= 472 , HCL= 0.84 , SG=1.382 , Temp=54.8
[22:20:47] R=  53 , G=  53 , B=  53 , ORP= 472 , HCL= 0.84 , SG=1.382 , Temp=54.8
[22:20:49] R=  51 , G=  51 , B=  51 , ORP= 473 , HCL= 0.84 , SG=1.383 , Temp=54.7
[22:20:51] R=  51 , G=  51 , B=  51 , ORP= 473 , HCL= 0.84 , SG=1.383 , Temp=54.7
[22:20:53] R=  51 , G=  51 , B=  51 , ORP= 473 , HCL= 0.84 , SG=1.383 , Temp=54.7
[22:20:55] R=  48 , G=  48 , B=  48 , ORP= 473 , HCL= 0.85 , SG=1.384 , Temp=54.7
[22:20:57] R=  48 , G=  48 , B=  48 , ORP= 473 , HCL= 0.85 , SG=1.384 , Temp=54.7
[22:20:59] R=  45 , G=  45 , B=  45 , ORP= 474 , HCL= 0.86 , SG=1.385 , Temp=54.7
[22:23:50] R=  29 , G=  29 , B=  29 , ORP= 505 , HCL= 1.07 , SG=1.399 , Temp=53.0
[22:23:52] R=  29 , G=  29 , B=  29 , ORP= 505 , HCL= 1.07 , SG=1.399 , Temp=53.0
[22:23:54] R=  31 , G=  31 , B=  31 , ORP= 507 , HCL= 1.07 , SG=1.399 , Temp=52.9
[22:23:56] R=  31 , G=  31 , B=  31 , ORP= 507 , HCL= 1.07 , SG=1.399 , Temp=52.9
[22:23:58] R=  31 , G=  31 , B=  31 , ORP= 507 , HCL= 1.07 , SG=1.399 , Temp=52.9
[22:24:31] R=  45 , G=  45 , B=  45 , ORP= 514 , HCL= 1.11 , SG=1.398 , Temp=52.4
[22:24:33] R=  45 , G=  45 , B=  45 , ORP= 514 , HCL= 1.11 , SG=1.398 , Temp=52.4
[22:24:35] R=  48 , G=  48 , B=  48 , ORP= 515 , HCL= 1.11 , SG=1.397 , Temp=52.3
[22:24:37] R=  48 , G=  48 , B=  48 , ORP= 515 , HCL= 1.11 , SG=1.397 , Temp=52.3
[22:24:39] R=  51 , G=  51 , B=  51 , ORP= 517 , HCL= 1.11 , SG=1.397 , Temp=52.2
[22:24:41] R=  51 , G=  51 , B=  51 , ORP= 517 , HCL= 1.11 , SG=1.397 , Temp=52.2
[22:24:43] R=  51 , G=  51 , B=  51 , ORP= 517 , HCL= 1.11 , SG=1.397 , Temp=52.2
[22:24:45] R=  53 , G=  53 , B=  53 , ORP= 518 , HCL= 1.12 , SG=1.397 , Temp=52.1
[22:24:47] R=  53 , G=  53 , B=  53 , ORP= 518 , HCL= 1.12 , SG=1.397 , Temp=52.1
[22:24:49] R=  56 , G=  56 , B=  56 , ORP= 519 , HCL= 1.12 , SG=1.396 , Temp=52.1
[22:24:51] R=  56 , G=  56 , B=  56 , ORP= 519 , HCL= 1.12 , SG=1.396 , Temp=52.1
[22:24:53] R=  56 , G=  56 , B=  56 , ORP= 519 , HCL= 1.12 , SG=1.396 , Temp=52.1
[22:24:55] R=  59 , G=  59 , B=  59 , ORP= 520 , HCL= 1.13 , SG=1.396 , Temp=52.0
[22:24:57] R=  59 , G=  59 , B=  59 , ORP= 520 , HCL= 1.13 , SG=1.396 , Temp=52.0
[22:24:59] R=  62 , G=  62 , B=  62 , ORP= 521 , HCL= 1.13 , SG=1.395 , Temp=51.9
[22:25:01] R=  62 , G=  62 , B=  62 , ORP= 521 , HCL= 1.13 , SG=1.395 , Temp=51.9
[22:25:03] R=  62 , G=  62 , B=  62 , ORP= 521 , HCL= 1.13 , SG=1.395 , Temp=51.9
[22:25:05] R=  65 , G=  65 , B=  65 , ORP= 522 , HCL= 1.13 , SG=1.395 , Temp=51.8
[22:25:07] R=  65 , G=  65 , B=  65 , ORP= 522 , HCL= 1.13 , SG=1.395 , Temp=51.8
