[11:35:58] R= 416 , G= 416 , B= 416 , ORP= 581 , HCL=11.42 , SG=1.315 , Temp=46.7
[11:36:00] R= 416 , G= 416 , B= 416 , ORP= 581 , HCL=11.42 , SG=1.315 , Temp=46.7
[11:36:02] R= 416 , G= 416 , B= 416 , ORP= 581 , HCL=11.42 , SG=1.315 , Temp=46.7
[11:36:04] R= 423 , G= 423 , B= 423 , ORP= 582 , HCL=11.39 , SG=1.313 , Temp=46.6
[11:36:06] R= 423 , G= 423 , B= 423 , ORP= 582 , HCL=11.39 , SG=1.313 , Temp=46.6
[11:36:08] R= 430 , G= 430 , B= 430 , ORP= 582 , HCL=11.35 , SG=1.312 , Temp=46.5
[11:36:10] R= 430 , G= 430 , B= 430 , ORP= 582 , HCL=11.35 , SG=1.312 , Temp=46.5
[11:36:12] R= 430 , G= 430 , B= 430 , ORP= 582 , HCL=11.35 , SG=1.312 , Temp=46.5
[11:36:14] R= 437 , G= 437 , B= 437 , ORP= 583 , HCL=11.31 , SG=1.310 , Temp=46.5
[11:36:17] R= 437 , G= 437 , B= 437 , ORP= 583 , HCL=11.31 , SG=1.310 , Temp=46.5
[11:36:19] R= 443 , G= 443 , B= 443 , ORP= 583 , HCL=11.27 , SG=1.308 , Temp=46.4
[11:36:21] R= 443 , G= 443 , B= 443 , ORP= 583 , HCL=11.27 , SG=1.308 , Temp=46.4
[11:36:23] R= 443 , G= 443 , B= 443 , ORP= 583 , HCL=11.27 , SG=1.308 , Temp=46.4
[11:36:25] R= 450 , G= 450 , B= 450 , ORP= 584 , HCL=11.23 , SG=1.306 , Temp=46.4
[11:36:27] R= 450 , G= 450 , B= 450 , ORP= 584 , HCL=11.23 , SG=1.306 , Temp=46.4
[11:36:29] R= 457 , G= 457 , B= 457 , ORP= 584 , HCL=11.19 , SG=1.305 , Temp=46.3
[11:36:31] R= 457 , G= 457 , B= 457 , ORP= 584 , HCL=11.19 , SG=1.305 , Temp=46.3
[11:36:33] R= 457 , G= 457 , B= 457 , ORP= 584 , HCL=11.19 , SG=1.305 , Temp=46.3
[11:36:35] R= 464 , G= 464 , B= 464 , ORP= 585 , HCL=11.15 , SG=1.303 , Temp=46.2
[11:36:37] R= 464 , G= 464 , B= 464 , ORP= 585 , HCL=11.15 , SG=1.303 , Temp=46.2
[11:36:39] R= 471 , G= 471 , B= 471 , ORP= 585 , HCL=11.10 , SG=1.301 , Temp=46.2
[11:36:41] R= 471 , G= 471 , B= 471 , ORP= 585 , HCL=11.10 , SG=1.301 , Temp=46.2
[11:36:43] R= 471 , G= 471 , B= 471 , ORP= 585 , HCL=11.10 , SG=1.301 , Temp=46.2
[11:36:45] R= 477 , G= 477 , B= 477 , ORP= 586 , HCL=11.06 , SG=1.300 , Temp=46.1
[11:36:47] R= 477 , G= 477 , B= 477 , ORP= 586 , HCL=11.06 , SG=1.300 , Temp=46.1
[11:36:49] R= 484 , G= 484 , B= 484 , ORP= 586 , HCL=11.01 , SG=1.298 , Temp=46.1
[11:36:51] R= 484 , G= 484 , B= 484 , ORP= 586 , HCL=11.01 , SG=1.298 , Temp=46.1
[11:36:53] R= 484 , G= 484 , B= 484 , ORP= 586 , HCL=11.01 , SG=1.298 , Temp=46.1
[11:36:55] R= 491 , G= 491 , B= 491 , ORP= 586 , HCL=10.97 , SG=1.296 , Temp=46.0
[11:36:57] R= 491 , G= 491 , B= 491 , ORP= 586 , HCL=10.97 , SG=1.296 , Temp=46.0
