[09:59:07] R= 423 , G= 423 , B= 423 , ORP= 582 , HCL= 1.13 , SG=1.313 , Temp=46.6
[09:59:09] R= 423 , G= 423 , B= 423 , ORP= 582 , HCL= 1.13 , SG=1.313 , Temp=46.6
[09:59:11] R= 430 , G= 430 , B= 430 , ORP= 582 , HCL= 1.13 , SG=1.312 , Temp=46.5
[09:59:13] R= 430 , G= 430 , B= 430 , ORP= 582 , HCL= 1.13 , SG=1.312 , Temp=46.5
[09:59:15] R= 430 , G= 430 , B= 430 , ORP= 582 , HCL= 1.13 , SG=1.312 , Temp=46.5
[09:59:17] R= 437 , G= 437 , B= 437 , ORP= 583 , HCL= 1.13 , SG=1.310 , Temp=46.5
[09:59:19] R= 437 , G= 437 , B= 437 , ORP= 583 , HCL= 1.13 , SG=1.310 , Temp=46.5
[09:59:21] R= 443 , G= 443 , B= 443 , ORP= 583 , HCL= 1.12 , SG=1.308 , Temp=46.4
[09:59:23] R= 443 , G= 443 , B= 443 , ORP= 583 , HCL= 1.12 , SG=1.308 , Temp=46.4
[09:59:25] R= 443 , G= 443 , B= 443 , ORP= 583 , HCL= 1.12 , SG=1.308 , Temp=46.4
[09:59:27] R= 450 , G= 450 , B= 450 , ORP= 584 , HCL= 1.12 , SG=1.306 , Temp=46.4
[09:59:29] R= 450 , G= 450 , B= 450 , ORP= 584 , HCL= 1.12 , SG=1.306 , Temp=46.4
[09:59:31] R= 457 , G= 457 , B= 457 , ORP= 584 , HCL= 1.11 , SG=1.305 , Temp=46.3
[09:59:33] R= 457 , G= 457 , B= 457 , ORP= 584 , HCL= 1.11 , SG=1.305 , Temp=46.3
[09:59:39] R= 464 , G= 464 , B= 464 , ORP= 585 , HCL= 1.11 , SG=1.303 , Temp=46.2
[09:59:41] R= 471 , G= 471 , B= 471 , ORP= 585 , HCL= 1.11 , SG=1.301 , Temp=46.2
[09:59:43] R= 471 , G= 471 , B= 471 , ORP= 585 , HCL= 1.11 , SG=1.301 , Temp=46.2
[09:59:45] R= 471 , G= 471 , B= 471 , ORP= 585 , HCL= 1.11 , SG=1.301 , Temp=46.2
[09:59:47] R= 477 , G= 477 , B= 477 , ORP= 586 , HCL= 1.10 , SG=1.300 , Temp=46.1
[09:59:49] R= 477 , G= 477 , B= 477 , ORP= 586 , HCL= 1.10 , SG=1.300 , Temp=46.1
[09:59:55] R= 484 , G= 484 , B= 484 , ORP= 586 , HCL= 1.10 , SG=1.298 , Temp=46.1
[09:59:57] R= 491 , G= 491 , B= 491 , ORP= 586 , HCL= 1.09 , SG=1.296 , Temp=46.0
[09:59:59] R= 491 , G= 491 , B= 491 , ORP= 586 , HCL= 1.09 , SG=1.296 , Temp=46.0
[10:00:01] R= 497 , G= 497 , B= 497 , ORP= 587 , HCL= 1.09 , SG=1.294 , Temp=46.0
[10:00:03] R= 497 , G= 497 , B= 497 , ORP= 587 , HCL= 1.09 , SG=1.294 , Temp=46.0
[10:00:05] R= 497 , G= 497 , B= 497 , ORP= 587 , HCL= 1.09 , SG=1.294 , Temp=46.0
[10:00:07] R= 504 , G= 504 , B= 504 , ORP= 587 , HCL= 1.08 , SG=1.293 , Temp=45.9
[10:00:09] R= 504 , G= 504 , B= 504 , ORP= 587 , HCL= 1.08 , SG=1.293 , Temp=45.9
[10:00:11] R= 510 , G= 510 , B= 510 , ORP= 587 , HCL= 1.08 , SG=1.291 , Temp=45.9
[10:00:13] R= 510 , G= 510 , B= 510 , ORP= 587 , HCL= 1.08 , SG=1.291 , Temp=45.9
