[21:55:11] R= 457 , G= 457 , B= 457 , ORP= 584 , HCL=11.19 , SG=1.305 , Temp=46.3
[21:55:13] R= 457 , G= 457 , B= 457 , ORP= 584 , HCL=11.19 , SG=1.305 , Temp=46.3
[21:55:15] R= 464 , G= 464 , B= 464 , ORP= 585 , HCL=11.15 , SG=1.303 , Temp=46.2
[21:55:17] R= 464 , G= 464 , B= 464 , ORP= 585 , HCL=11.15 , SG=1.303 , Temp=46.2
[21:55:19] R= 471 , G= 471 , B= 471 , ORP= 585 , HCL=11.10 , SG=1.301 , Temp=46.2
[21:55:21] R= 471 , G= 471 , B= 471 , ORP= 585 , HCL=11.10 , SG=1.301 , Temp=46.2
[21:55:23] R= 471 , G= 471 , B= 471 , ORP= 585 , HCL=11.10 , SG=1.301 , Temp=46.2
[21:55:25] R= 477 , G= 477 , B= 477 , ORP= 586 , HCL=11.06 , SG=1.300 , Temp=46.1
[21:55:27] R= 477 , G= 477 , B= 477 , ORP= 586 , HCL=11.06 , SG=1.300 , Temp=46.1
[21:55:29] R= 484 , G= 484 , B= 484 , ORP= 586 , HCL=11.01 , SG=1.298 , Temp=46.1
[21:55:31] R= 484 , G= 484 , B= 484 , ORP= 586 , HCL=11.01 , SG=1.298 , Temp=46.1
[21:55:33] R= 491 , G= 491 , B= 491 , ORP= 586 , HCL=10.97 , SG=1.296 , Temp=46.0
[21:55:35] R= 491 , G= 491 , B= 491 , ORP= 586 , HCL=10.97 , SG=1.296 , Temp=46.0
[21:55:37] R= 491 , G= 491 , B= 491 , ORP= 586 , HCL=10.97 , SG=1.296 , Temp=46.0
[21:55:39] R= 497 , G= 497 , B= 497 , ORP= 587 , HCL=10.92 , SG=1.294 , Temp=46.0
[21:55:41] R= 497 , G= 497 , B= 497 , ORP= 587 , HCL=10.92 , SG=1.294 , Temp=46.0
[21:55:43] R= 504 , G= 504 , B= 504 , ORP= 587 , HCL=10.87 , SG=1.293 , Temp=45.9
[21:55:45] R= 504 , G= 504 , B= 504 , ORP= 587 , HCL=10.87 , SG=1.293 , Temp=45.9
[21:55:47] R= 504 , G= 504 , B= 504 , ORP= 587 , HCL=10.87 , SG=1.293 , Temp=45.9
[21:55:49] R= 510 , G= 510 , B= 510 , ORP= 587 , HCL=10.82 , SG=1.291 , Temp=45.9
[21:55:51] R= 510 , G= 510 , B= 510 , ORP= 587 , HCL=10.82 , SG=1.291 , Temp=45.9
[21:55:53] R= 517 , G= 517 , B= 517 , ORP= 588 , HCL=10.77 , SG=1.289 , Temp=45.8
[21:55:55] R= 517 , G= 517 , B= 517 , ORP= 588 , HCL=10.77 , SG=1.289 , Temp=45.8
[21:55:57] R= 517 , G= 517 , B= 517 , ORP= 588 , HCL=10.77 , SG=1.289 , Temp=45.8
[21:55:59] R= 524 , G= 524 , B= 524 , ORP= 588 , HCL=10.72 , SG=1.287 , Temp=45.8
[21:56:01] R= 524 , G= 524 , B= 524 , ORP= 588 , HCL=10.72 , SG=1.287 , Temp=45.8
[21:56:03] R= 530 , G= 530 , B= 530 , ORP= 588 , HCL=10.67 , SG=1.286 , Temp=45.7
[21:56:05] R= 530 , G= 530 , B= 530 , ORP= 588 , HCL=10.67 , SG=1.286 , Temp=45.7
[21:56:07] R= 530 , G= 530 , B= 530 , ORP= 588 , HCL=10.67 , SG=1.286 , Temp=45.7
[21:56:09] R= 536 , G= 536 , B= 536 , ORP= 588 , HCL=10.62 , SG=1.284 , Temp=45.7
